,individual_id,individual_local_identifier,acceleration_raw_x,acceleration_raw_y,acceleration_raw_z,battery_charge_percent,battery_charging_current,external_temperature,gps_hdop,gps_satellite_count,gps_time_to_fix,ground_speed,heading,height_above_msl,light_level,location_lat,location_long,magnetic_field_raw_x,magnetic_field_raw_y,magnetic_field_raw_z,tag_voltage,timestamp
0,668962097,Enea_233,130.0,-430.0,1027.0,94,0.0,22.0,1.2,7,39.1,0.0,75.0,-2.0,0.0,42.471961975097656,11.23614501953125,0.045,-0.05,0.337,4114.0,2023-03-15 05:32:29.000
1,668962097,Enea_233,1.0,-331.0,998.0,93,0.0,20.0,1.2,7,6.64,0.0,59.0,-9.0,0.0,42.47185516357422,11.23709201812744,-0.009,-0.175,0.377,4106.0,2023-03-15 05:46:56.000
2,668962097,Enea_233,-9.0,-135.0,1035.0,93,0.0,25.0,1.4,6,9.67,0.0,187.0,13.0,0.0,42.47187423706055,11.237054824829102,0.596,-0.343,0.252,4109.0,2023-03-15 06:01:59.000
3,668962097,Enea_233,-196.0,-202.0,934.0,93,0.0,25.0,1.9,5,15.87,0.2777777777777778,35.0,0.0,24.0,42.47286605834961,11.238313674926758,0.224,0.069,0.329,4109.0,2023-03-15 06:17:06.000
4,668962097,Enea_233,-38.0,-877.0,613.0,94,0.0,23.0,1.1,7,23.95,0.0,179.0,17.0,648.0,42.47687149047852,11.209369659423828,0.196,-0.202,0.201,4112.0,2023-03-15 06:32:14.000
5,668962097,Enea_233,-83.0,-605.0,844.0,94,0.0,26.0,1.1,7,11.68,0.0,295.0,-33.0,342.0,42.47676849365234,11.209171295166016,0.386,-0.173,0.181,4112.0,2023-03-15 06:47:01.000
6,668962097,Enea_233,-51.0,-610.0,837.0,94,3.0,28.0,1.1,7,7.64,0.0,113.0,5.0,342.0,42.47691345214844,11.209331512451172,0.406,-0.181,0.232,4112.0,2023-03-15 07:01:57.000
7,668962097,Enea_233,-100.0,-632.0,814.0,94,0.0,25.0,1.5,4,9.66,0.0,359.0,43.0,214.0,42.477298736572266,11.223371505737305,0.371,-0.138,0.194,4112.0,2023-03-15 07:16:59.000
8,668962097,Enea_233,119.0,87.0,1016.0,94,0.0,31.0,1.5,6,23.93,0.0,344.0,5.0,14.0,42.47783279418945,11.224120140075684,0.509,-0.051,0.277,4114.0,2023-03-15 07:32:14.000
9,668962097,Enea_233,18.0,-246.0,994.0,94,0.0,31.0,1.4,8,23.95,0.2777777777777778,15.0,3.0,48.0,42.47824478149414,11.22380542755127,0.459,-0.497,0.28,4112.0,2023-03-15 07:47:14.000
10,668962097,Enea_233,64.0,-323.0,701.0,94,0.0,32.0,1.4,7,7.66,0.2777777777777778,332.0,-11.0,6.0,42.47789764404297,11.222773551940918,0.05,-0.33,0.427,4112.0,2023-03-15 08:01:57.000
11,668962097,Enea_233,-50.0,-337.0,955.0,94,0.0,36.0,1.2,7,8.68,0.5555555555555556,319.0,2.0,17.0,42.47795104980469,11.223283767700195,0.57,-0.287,0.248,4114.0,2023-03-15 08:16:58.000
12,668962097,Enea_233,11.0,-332.0,1000.0,94,0.0,38.0,1.1,5,23.9,0.0,37.0,49.0,4.0,42.47822952270508,11.223231315612791,0.62,-0.371,0.277,4112.0,2023-03-15 08:32:14.000
13,668962097,Enea_233,45.0,-116.0,1039.0,93,0.0,34.0,1.1,5,18.85,0.0,262.0,216.0,297.0,42.47849655151367,11.223458290100098,0.159,-0.2,0.332,4109.0,2023-03-15 08:47:09.000
