Time,RR interval
64236.0,0.795
64236.791,0.791
64237.583,0.792
64238.397,0.814
64239.188,0.791
64239.964,0.776
64240.724,0.76
64241.492,0.768
64242.245,0.753
64242.983,0.738
64243.705,0.722
64244.427,0.722
64245.156,0.729
64245.878,0.722
64246.593,0.715
64247.307,0.714
64248.021,0.714
64248.759,0.738
64249.519,0.76
64250.287,0.768
64251.071,0.784
64251.862,0.791
64252.638,0.776
64253.398,0.76
64254.151,0.753
64254.935,0.784
64255.71,0.775
64256.471,0.761
64257.239,0.768
64258.007,0.768
64258.775,0.768
64259.559,0.784
64260.35,0.791
64261.156,0.806
64262.017,0.861
64262.9,0.883
64263.906,1.006
64264.905,0.999
64265.873,0.968
64266.81,0.937
64267.724,0.914
64268.623,0.899
64269.498,0.875
64270.358,0.86
64271.211,0.853
64272.064,0.853
64272.932,0.868
64273.846,0.914
64274.806,0.96
64275.751,0.945
64276.68,0.929
64277.587,0.907
64278.47,0.883
64279.323,0.853
64280.137,0.814
64280.936,0.799
64281.75,0.814
64282.564,0.814
64283.401,0.837
64284.223,0.822
64285.037,0.814
64285.844,0.807
64286.666,0.822
64287.488,0.822
64288.31,0.822
64289.132,0.822
64289.969,0.837
64290.821,0.852
64291.689,0.868
64292.542,0.853
64293.379,0.837
64294.209,0.83
64295.023,0.814
64295.837,0.814
64296.667,0.83
64297.512,0.845
64298.38,0.868
64299.286,0.906
64300.216,0.93
64301.16,0.944
64302.097,0.937
64303.019,0.922
64303.933,0.914
64304.817,0.884
64305.677,0.86
64306.514,0.837
64307.328,0.814
64308.127,0.799
64308.918,0.791
64309.694,0.776
64310.493,0.799
64311.353,0.86
64312.275,0.922
64313.204,0.929
64314.149,0.945
64315.079,0.93
64316.0,0.921
64316.914,0.914
64317.805,0.891
64318.666,0.861
64319.495,0.829
64320.302,0.807
64321.093,0.791
64321.876,0.783
64322.668,0.792
64323.528,0.86
64324.419,0.891
64325.318,0.899
64326.224,0.906
64327.123,0.899
64328.014,0.891
64328.882,0.868
64329.742,0.86
64330.564,0.822
64331.371,0.807
64332.154,0.783
64332.93,0.776
64333.744,0.814
64334.597,0.853
64335.488,0.891
64336.394,0.906
64337.293,0.899
64338.199,0.906
64339.09,0.891
64339.958,0.868
64340.811,0.853
64341.64,0.829
64342.455,0.815
64343.269,0.814
64344.083,0.814
64344.905,0.822
64345.727,0.822
64346.541,0.814
64347.409,0.868
64348.308,0.899
64349.222,0.914
64350.136,0.914
64351.042,0.906
64351.941,0.899
64352.832,0.891
64353.708,0.876
64354.56,0.852
64355.39,0.83
64356.212,0.822
64357.026,0.814
64357.832,0.806
64358.639,0.807
64359.438,0.799
64360.252,0.814
64361.089,0.837
64361.911,0.822
64362.771,0.86
64363.67,0.899
64364.592,0.922
64365.506,0.914
64366.42,0.914
64367.319,0.899
64368.217,0.898
64369.085,0.868
64369.923,0.838
64370.745,0.822
64371.543,0.798
64372.327,0.784
64373.103,0.776
64373.863,0.76
64374.616,0.753
64375.384,0.768
64376.175,0.791
64377.043,0.868
64377.957,0.914
64378.879,0.922
64379.808,0.929
64380.73,0.922
64381.644,0.914
64382.543,0.899
64383.442,0.899
64384.31,0.868
64385.162,0.852
64385.992,0.83
64386.791,0.799
64387.582,0.791
64388.365,0.783
64389.149,0.784
64389.963,0.814
64390.854,0.891
64391.776,0.922
64392.705,0.929
64393.627,0.922
64394.564,0.937
64395.486,0.922
64396.392,0.906
64397.283,0.891
64398.136,0.853
64398.981,0.845
64399.795,0.814
64400.602,0.807
64401.4,0.798
64402.207,0.807
64403.006,0.799
64403.805,0.799
64404.626,0.821
64405.502,0.876
64406.401,0.899
64407.3,0.899
64408.183,0.883
64409.043,0.86
64409.873,0.83
64410.664,0.791
64411.463,0.799
64412.254,0.791
64413.037,0.783
64413.813,0.776
64414.612,0.799
64415.457,0.845
64416.325,0.868
64417.208,0.883
64418.099,0.891
64418.983,0.884
64419.858,0.875
64420.711,0.853
64421.548,0.837
64422.378,0.83
64423.192,0.814
64424.006,0.814
64424.836,0.83
64425.673,0.837
64426.549,0.876
64427.455,0.906
64428.392,0.937
64429.314,0.922
64430.236,0.922
64431.142,0.906
64432.048,0.906
64432.932,0.884
64433.8,0.868
64434.645,0.845
64435.482,0.837
64436.304,0.822
64437.126,0.822
64437.963,0.837
64438.8,0.837
64439.653,0.853
64440.528,0.875
64441.45,0.922
64442.379,0.929
64443.301,0.922
64444.2,0.899
64445.083,0.883
64445.951,0.868
64446.811,0.86
64447.649,0.838
64448.471,0.822
64449.277,0.806
64450.076,0.799
64450.859,0.783
64451.674,0.815
64452.519,0.845
64453.387,0.868
64454.262,0.875
64455.13,0.868
64455.99,0.86
64456.843,0.853
64457.68,0.837
64458.502,0.822
64459.324,0.822
64460.131,0.807
64460.937,0.806
64461.759,0.822
64462.581,0.822
64463.441,0.86
64464.34,0.899
64465.239,0.899
64466.13,0.891
64466.998,0.868
64467.858,0.86
64468.695,0.837
64469.509,0.814
64470.308,0.799
64471.084,0.776
64471.86,0.776
64472.635,0.775
64473.427,0.792
64474.249,0.822
64475.124,0.875
64476.054,0.93
64476.975,0.921
64477.882,0.907
64478.773,0.891
64479.648,0.875
64480.501,0.853
64481.346,0.845
64482.16,0.814
64482.959,0.799
64483.742,0.783
64484.526,0.784
64485.309,0.783
64486.093,0.784
64486.892,0.799
64487.714,0.822
64488.566,0.852
64489.45,0.884
64490.348,0.898
64491.232,0.884
64492.092,0.86
64492.944,0.852
64493.774,0.83
64494.581,0.807
64495.364,0.783
64496.14,0.776
64496.9,0.76
64497.668,0.768
64498.452,0.784
64499.274,0.822
64500.134,0.86
64501.048,0.914
64501.97,0.922
64502.892,0.922
64503.806,0.914
64504.681,0.875
64505.534,0.853
64506.363,0.829
64507.162,0.799
64507.938,0.776
64508.698,0.76
64509.459,0.761
64510.242,0.783
64511.064,0.822
64511.924,0.86
64512.439,0.515
64513.384,0.945
64514.413,1.029
64515.373,0.96
64516.287,0.914
64517.155,0.868
64518.016,0.861
64518.868,0.852
64519.721,0.853
64520.558,0.837
64521.395,0.837
64522.232,0.837
64523.062,0.83
64523.899,0.837
64524.744,0.845
64525.604,0.86
64526.465,0.861
64527.34,0.875
64528.247,0.907
64529.115,0.868
64529.967,0.852
64530.789,0.822
64531.573,0.784
64532.341,0.768
64533.109,0.768
64533.869,0.76
64534.622,0.753
